UniqueID,Course,Title,Edition,Year,Author,ISBN,Alternate ISBNs,MMS ID,Call number,Barcode,Current Status,New/Returning/Past Semester,UMCP copy?,Notes,Comment,Branch Location
TopTextFall24.87,BMGT 340,Fundamentals of Corporate Finance,4th,2017,"Berk, DeMarzo, & Harford",9780134475561,,990063476620108238,BMGT440/Fund. of Corp. Finance 4th,31430058255912,On Shelf,,N,,,CPMCK
TopTextFall24.88,BMGT 343,Essentials of Investments,10th,2017,"Bodie, Kane, & Marcus",9780077835422,,990063476620108238,BMGT343/Ess. of Investments 10th,31430058255763,On Shelf,,N,,,CPMCK
TopTextFall24.89,BMGT 343,Essentials of Investments,12th,2022,"Bodie, Kane, & Marcus",9781260772166,,990063476620108238,BMGT343/Ess. of Investments 12th,31430058260441,On Shelf,,N,,,CPMCK
TopTextFall24.90,BMGT 350,Marketing,12th,2015,Armstrong & Kotler,9780133763522,,990063476620108238,BMGT350/Marketing,31430058252802,On Shelf,,N,,,CPMCK
TopTextFall24.91,BMGT 350,Marketing,13th,2017,Armstrong & Kotler,9780134149530,9780134421902,990063476620108238,BMGT350/Marketing 13th,"31430058253206, 31430058256365",On Shelf,,N,,,CPMCK
TopTextFall24.92,BMGT 355,Marketing: Core,9th,2022,Roger Kerin,9781264209279,,990063476620108238,BMGT355/Marketing (2),31430058259971,On Shelf,,N,,,CPMCK
TopTextFall24.93,BMGT 364,Essentials of Organizational Behavior,14th ,2018,Robbins & Judge,9780134524849,9780134640105,990063476620108238,BMGT364/Essentials of Organizational Behavior,31430058255052,On Shelf,,N,,,CPMCK
TopTextFall24.94,BMGT 364,Organizational Behavior,17th,2017,Robbins,9780134437866,9780134439822,990063476620108238,BMGT364/Organizational Behavior 17th,31430058253487,On Shelf,,N,,,CPMCK
TopTextFall24.95,BMGT 372,Supply Chain Management: A Global Perspective,2nd,2018,Nada R. Sanders,9781119392194,,990063476620108238,BMGT372/Supply Chain Management,31430058256043,On Shelf,,N,,,CPMCK
TopTextFall24.96,BMGT 372,Supply Chain Management: A Global Perspective,3rd,2021,Nada R. Sanders,9781119702863,,990063476620108238,BMGT372/Supply Chain Management 3rd,31430058259922,On Shelf,,N,,,CPMCK
TopTextFall24.97,BMGT 380,BMGT 380  Business Law Case Supl (Rev),2012,2012,McGraw Hill,9780078132759,,990063476620108238,BMGT380/Case Supl,31430058256597,On Shelf,,N,,,CPMCK
TopTextFall24.98,BMGT 380,BMGT 380  Business Law Case Supplement,,2015,Mallor,9781259698170,,990063476620108238,BMGT380/Case Supl 2015,31430058254030,On Shelf,,N,,,CPMCK
TopTextFall24.99,BMGT 380,BMGT 380 -Business Law Case Supplement,,2018,McGraw Hill,9781260699876,,990063476620108238,BMGT380/Case Supplement 2018,31430058258171,On Shelf,,N,,,CPMCK
TopTextFall24.100,BMGT 380,BMGT 380 - Business Law Supplemental Casebook,,2019,McGraw Hill,9781264789191,,990063476620108238,BMGT380/Case Supplement 2019,31430058259294,On Shelf,,N,,,CPMCK
